irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|SpeForm|PrepBy|SpeDatePrepared|DimLength|DimLengthUnit|DimWeightUnit|PhyColourPart|PhyColour|MulDescription|NumMulFiles
26606|NEWHM : 1999.H1044|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|New Zealand Fruit Pigeon||Mount of a New Zealand Fruit Pigeon|The New Zealand Fruit Pigeon is a relatively common species in New Zealand, where it feeds on the fruits of native trees. After Europeans colonised New Zealand, numbers declined, but the pigeon has recovered since then. This successful recovery is probably due to the complete ban on hunting that has existed since 1921.|New Zealand Fruit Pigeon|Columbidae : : : Aves : Chordata|Boyd, Miss Julia||Australasia, New Zealand|1||adult||mount|||||||||1
26610|NEWHM : 1999.H1048|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Golden Plover||Mount of a Golden Plover||Golden Plover|Charadriiformes & Charadriidae : : : Aves : Chordata|Noble, Captain|1885-10-12|Lorbottle|||adult||mount||||||wings|pale||1
26616|NEWHM : 1999.H1053|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Turtle Dove||Mount of a Turtle Dove|The turtle dove is a small, colourful pigeon which comes to southern England in the summer to breed. It has a soft purring song and nests in woodland and gardens. In recent years numbers have declined and efforts are being made to protect their breeding sites and increase the population.|Turtle Dove|Columbidae : : : Aves : Chordata|Hancock, John|1879-05-24|UK, England, Surrey, Oatlands|||adult||mount|||||||||1
26631|NEWHM : 1999.H1068|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Stock Dove||Mount of a Stock Dove||Stock Dove|Columbidae : : : Aves : Chordata|Adamson, C. M.|1876-05-|UK, England, Cumbria (NW England), Brampton|1||adult||mount|||||||||1
26632|NEWHM : 1999.H1069|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Homing Pigeon||Mount of a Homing Pigeon|Homing pigeons possess the ability to find their way back home from a strange location, often over hundreds of miles. No-one knows exactly how they do this. The pigeons have tiny magnetic particles in their brains and can sense the planet's magnetic field. They may be able to use this sense to find the right direction to fly in. They are also known to navigate using visual landmarks such as roads and the position of the sun in the sky.|Homing Pigeon|Columbidae : : : Aves : Chordata||||1||adult||mount||||||ceres & eyelids, ceres & eyelids|whitish, whitish||1
26638|NEWHM : 1999.H1075|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Jackdaw||Mount of a Jackdaw|The jackdaw is a small crow that is common throughout the British Isles, in both urban and rural areas. Jackdaws nest in small colonies of 20 or 30, normally in stands of tall trees. Like all members of the crow family, they will steal the eggs and chicks from other birds' nests during the breeding season. In some inner city areas, they survive almost exclusively on a diet of pigeon eggs and young chicks.|Jackdaw|Corvidae : : : Aves : Chordata|Seebohm, Henry|1878-04-02|East Siberia, Krasnoyarsk, Targashino|||adult||mount|||||||light||1
26680|NEWHM : 1999.H1117|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Slavonian Grebe||Mount of a Slavonian Grebe||Slavonian Grebe|Podicipedidae : : : Aves : Chordata|Duncan, John|1894-03-08|UK, England, Northumberland (NE England), Whitley Bay, St. Mary's Island|1|||winter plumage|mount|||||||||1
26702|NEWHM : 1999.H1139|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Green Woodpecker||Mount of a Green Woodpecker on a branch|The Green Woodpecker is a large and distinctive species native to most of Europe and as far east as Iran. It lives in lowland forests, mainly in mature trees. Like most woodpeckers, it feeds on insect larvae by pecking holes in dead trees with its powerful bill. It is very secretive and is more often heard than seen. It has a high pitched laughing call which has led to it being called the Yaffle in some areas.|Green Woodpecker|Picidae : : : Aves : Chordata|Wheelwright, H. W.|1843|UK, England, Northamptonshire (Midland England)|||immature|1st plumage|mount|||||||||1
26728|NEWHM : 1999.H1165|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Black-necked Grebe||Mount of a Black-necked Grebe|The Black Necked Grebe is found throughout Europe and Asia. It lives in small and heavily vegetated lakes and ponds. Unlike most grebes, it prefers to feed on insects and molluscs rather than fish and so tends to feed from the water surface rather than diving. In Britain it breeds only in a few isolated areas, but many Black Necked Grebes spend the winter on the sea off the coast of southern and eastern England.|Black-necked Grebe|Podicipedidae : : : Aves : Chordata||1891-01-|UK, England, Northumberland (NE England), Lindisfarne||1|adult|winter plumage|mount|||||||||1
26772|NEWHM : 1999.H1203|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Corncrake||Mount of a Corncrake|The Corncrake is a medium sized rail that breeds in meadows and cereal fields. It was previously very widespread across most of Europe, but numbers have declined dramatically over the past century. Modern agriculture, in particular mechanised harvesting and mowing, destroys nests and often kills the chicks and young birds before they can escape. In Britain Corncrakes are now only found in the far north of Scotland, where conservation efforts are underway to try and reverse the decline.|Corncrake|Rallidae : : : Aves : Chordata||22/09/1954|UK, England, Northumberland, Craster (nr.)||1|adult||mount|||||||||1
