irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoName|MinHeyNumber|MinChemClass|PetAssociated|GeoAge|GeoRock|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeForm|DimHeight|DimLength|DimWidth|DimDepth|DimLengthUnit|PhyColour|ConHazard|MulDescription|NumMulFiles
138155|NEWHM : HANM.5.1602|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Rose granite from an obilisk, Rose granite quarry, Aswan, Egypt.||Granite|||||||||||||||||||7
138167|NEWHM : HANM.5.1614|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock (sedimentary)|Limestone|Limestone from Valley of the Kings, Egypt.|||||||||||||||||||||7
138227|NEWHM : HANM.5.1674|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
138231|NEWHM : HANM.5.1678|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
138892|NEWHM : HANM.5.2365|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||rock (igneous)|Volcanic|Volcanic stone from Magalisburg, Transvaal, S. Africa.|||||||||||||||||||||7
138901|NEWHM : HANM.5.2374|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral|Quartz|Quartz from Rustenburg Nature Reserve, Transvaal, S. Africa.|||||||||||||||||||||7
138903|NEWHM : HANM.5.2376|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|2|sand, rock|Limestone|Sand and Limestone from Limassol, Cyprus.|||||||||||||||||||||7
138928|NEWHM : HANM.5.2403|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|2|rock|Sulphur|Sulphur rock from Alberta, Canada.|||||||||||||||||||||9
139059|NEWHM : HANM.5.2541|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock (igneous)|Volcanic|Volcanic rock from Mount Etna. Given to the Todds by 14 year old Caroline Polani of Paris|||||||||||||||||||||9
139109|NEWHM : HANM.5.2616|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
139110|NEWHM : HANM.5.2617|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|6|mineral||Quartz Chalcedony Agate|||||||||||||||||||||1
139127|NEWHM : HANM.5.2638|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
139128|NEWHM : HANM.5.2639|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
139131|NEWHM : HANM.5.2642|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
