irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoName|MinHeyNumber|MinChemClass|PetAssociated|GeoAge|GeoRock|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeForm|DimHeight|DimLength|DimWidth|DimDepth|DimLengthUnit|PhyColour|ConHazard|MulDescription|NumMulFiles
140190|NEWHM : HANM.5.4201|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
140191|NEWHM : HANM.5.4202|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Quartz Amethyst|||||||||||||||||||||1
140192|NEWHM : HANM.5.4203|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Quartz Amethyst|||||||||||||||||||||1
140193|NEWHM : HANM.5.4204|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Quartz Amethyst|||||||||||||||||||||1
140194|NEWHM : HANM.5.4205|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Quartz Amethyst|||||||||||||||||||||1
140195|NEWHM : HANM.5.4206|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Quartz Amethyst|||||||||||||||||||||1
140196|NEWHM : HANM.5.4207|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
140197|NEWHM : HANM.5.4208|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
140200|NEWHM : HANM.5.4211|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone.|||||||||||||||||||||1
140662|NEWHM : HANM.5.4847|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock (igneous)||Porphyritic volcanic rock.|||||||||||||||||||||1
141064|NEWHM : HANM.6.1345|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Large slab of crinoidal limestone.|||||||||||||||||||||1
142431|NEWHM : HANM.7.1513|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|acid|Coal|Coal||||||||||||||9.5|7.6|5.7|cm||||1
143212|NEWHM : HANM.449|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Quartz 1.|||||||||||||||||||||1
143213|NEWHM : HANM.453|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Rose quartz. (open display amazing minerals)|||||||||||||||||||||1
143217|NEWHM : HANM.465|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock (sedimentary)||Yellowsand.|||||||||||||||||||||11
143218|NEWHM : HANM.466|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock|sedimentary|Breccia.|||||||||||||||||||||12
143219|NEWHM : HANM.467|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock (sedimentary)||Marl.|||||||||||||||||||||11
143220|NEWHM : HANM.468|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock|sedimentary|Ludlow shale.|||||||||||||||||||||14
143221|NEWHM : HANM.469|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone.|||||||||||||||||||||14
143234|NEWHM : HANM.482|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock|sedimentary|Septarian nodule (sedimentary rocks sedimentary structures drawer 1).|||||||||||||||||||||14
143235|NEWHM : HANM.483|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock (sedimentary)||Cross bedding (sedimentary rocks sedimentary structures drawer 1)|||||||||||||||||||||8
143236|NEWHM : HANM.484|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock|sedimentary|Cone-in-cone structure in shale (sedimentary rocks sedimentary structures drawer 1)|||||||||||||||||||||8
143239|NEWHM : HANM.488|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock|sedimentary|Sunday stone (sedimentary rocks chemical drawer 2)||Baryte|||||||||||||||||||8
143241|NEWHM : HANM.490|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Eenie coal. eenie coal (vitrain, sedimentary rocks the formation of coal drawer 3)|||||||||||||||||||||10
143242|NEWHM : HANM.491|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Lignite. lignite (prev. no. 955.18, sedimentary rocks the formation of coal drawer 3)|||||||||||||||||||||10
143243|NEWHM : HANM.492|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Sub-bituminous coal. sub-bituminous coal (sedimentary rocks the formation of coal drawer 3)|||||||||||||||||||||10
143244|NEWHM : HANM.493|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Brown peat. brown peat (prev. no. 957.5, sedimentary rocks the formation of coal drawer 3)|||||||||||||||||||||10
143245|NEWHM : HANM.494|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Bituminous coal. (house coal, sedimentary rocks the formation of coal drawer 3)|||||||||||||||||||||10
143246|NEWHM : HANM.495|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Sandstone.  (metamorphic rocks the formation of metamorphic rocks drawer 1)|||||||||||||||||||||10
143247|NEWHM : HANM.496|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Schist. schist (prev. no. 184, metamorphic rocks the formation of metamorphic rocks drawer 1)|||||||||||||||||||||14
143248|NEWHM : HANM.497|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Marble. marble (metamorphic rocks the formation of metamorphic rocks drawer 1)|||||||||||||||||||||10
143885|NEWHM : HANM.2901|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Cryptocrystalline siliceous rock.|||||||||||||||||||||1
144305|NEWHM : HANM.4816|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock (sedimentary)||Chalk (previous accession number 116, sedimentary rocks limestone drawer 3)|||||||||||||||||||||11
120634|NEWHM : HANM.1.373|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Lithodamus in rock.|||||||||||||||||||||1
125270|NEWHM : HANM.2.16|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Gabbroic rock.|||||||||||||||||||||1
125296|NEWHM : HANM.2.42|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock (metamorphic)||Mica schist.|||||||||||||||||||||1
125305|NEWHM : HANM.2.51|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Unidentified specimen of rock.|||||||||||||||||||||1
125310|NEWHM : HANM.2.56|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock (igneous)||Plutonic rock.|||||||||||||||||||||1
125311|NEWHM : HANM.2.57|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock (metamorphic)||Gneiss.|||||||||||||||||||||1
125312|NEWHM : HANM.2.58|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock (metamorphic)||Gneiss.|||||||||||||||||||||1
