irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeStatus|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|ColCollectionName|ConConsObjectDescription|MulDescription|NumMulFiles
123712|NEWHM : HANM.1.3455|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123713|NEWHM : HANM.1.3456|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc||||||||||||||||||1
123714|NEWHM : HANM.1.3457|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123715|NEWHM : HANM.1.3458|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||7|gastropod mollusc ||||||||||||||||||1
123716|NEWHM : HANM.1.3459|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||4|gastropod mollusc||||||||||||||||||1
123717|NEWHM : HANM.1.3460|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123718|NEWHM : HANM.1.3461|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||11|gastropod mollusc||||||||||||||||||1
123719|NEWHM : HANM.1.3462|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||5|gastropod mollusc||||||||||||||||||1
123720|NEWHM : HANM.1.3463|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||7|gastropod mollusc ||||||||||||||||||1
123721|NEWHM : HANM.1.3464|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||7|gastropod mollusc ||||||||||||||||||1
123722|NEWHM : HANM.1.3465|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123723|NEWHM : HANM.1.3466|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123725|NEWHM : HANM.1.3468|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123726|NEWHM : HANM.1.3469|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123727|NEWHM : HANM.1.3470|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123728|NEWHM : HANM.1.3471|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123729|NEWHM : HANM.1.3472|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123730|NEWHM : HANM.1.3473|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||4|gastropod mollusc||||||||||||||||||1
123731|NEWHM : HANM.1.3474|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123732|NEWHM : HANM.1.3475|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||6|gastropod mollusc ||||||||||||||||||1
123733|NEWHM : HANM.1.3476|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||28|gastropod mollusc (28)||||||||||||||||||1
123734|NEWHM : HANM.1.3477|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123735|NEWHM : HANM.1.3478|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||4|gastropod mollusc||||||||||||||||||1
123736|NEWHM : HANM.1.3479|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123737|NEWHM : HANM.1.3480|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123738|NEWHM : HANM.1.3481|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123739|NEWHM : HANM.1.3482|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|marine gastropod|||||||||||||||||1
123740|NEWHM : HANM.1.3483|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell||||||||||||||||||1
123741|NEWHM : HANM.1.3484|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell||||||||||||||||||1
123742|NEWHM : HANM.1.3485|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123743|NEWHM : HANM.1.3486|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|marine gastropod|||||||||||||||||1
123744|NEWHM : HANM.1.3487|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|marine gastropod|||||||||||||||||1
123745|NEWHM : HANM.1.3488|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell||||||||||||||||||1
123746|NEWHM : HANM.1.3489|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|marine gastropod|||||||||||||||||1
123747|NEWHM : HANM.1.3490|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|marine gastropod|||||||||||||||||1
123748|NEWHM : HANM.1.3491|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|marine gastropod|||||||||||||||||1
123749|NEWHM : HANM.1.3492|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|marine gastropod|||||||||||||||||1
123750|NEWHM : HANM.1.3493|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123752|NEWHM : HANM.1.3495|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123753|NEWHM : HANM.1.3496|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|marine gastropod|||||||||||||||||1
123755|NEWHM : HANM.1.3498|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|mollusc shell|marine gastropod|||||||||||||||||1
123757|NEWHM : HANM.1.3500|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc|Sea Snail|||||||||||||||||1
123759|NEWHM : HANM.1.3502|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|mollusc|Sea Snail|||||||||||||||||1
123761|NEWHM : HANM.1.3504|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123762|NEWHM : HANM.1.3505|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell||||||||||||||||||1
123763|NEWHM : HANM.1.3506|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123764|NEWHM : HANM.1.3507|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123766|NEWHM : HANM.1.3509|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123767|NEWHM : HANM.1.3510|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123768|NEWHM : HANM.1.3511|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|marine gastropod|||||||||||||||||1
123770|NEWHM : HANM.1.3513|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123771|NEWHM : HANM.1.3514|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123772|NEWHM : HANM.1.3515|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
