irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpePreparation|DimHeight|DimDiameter|DimLengthUnit|ParentSum|MulDescription|NumMulFiles
530534|NEWHM : 2016.H3.85|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 85 of 91, Box Y, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||41|21|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530535|NEWHM : 2016.H3.86|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 86 of 91, Box Y, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||40|43|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530446|NEWHM : 2016.H3.3|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Small fracture below cap. Number 3 of 91, Box A, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||74|29|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530424|NEWHM : 2016.H3.1|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaricus emeticus"" and ""Gpeiteufel"". Fracture below cap. Number 1 of 91, Box A, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||60|38|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530440|NEWHM : 2016.H3.2|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 2 of 91, Box A, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||53|18|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530447|NEWHM : 2016.H3.4|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 4 of 91, Box A, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||61|30|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530536|NEWHM : 2016.H3.87|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 87 of 91, Box Y, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||29|18|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530537|NEWHM : 2016.H3.88|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 88 of 91, Box Y, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||40|34|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530538|NEWHM : 2016.H3.89|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 89 of 91, Box Y, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||37|12|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530539|NEWHM : 2016.H3.90|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 90 of 91, Box Y, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||10|12|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530540|NEWHM : 2016.H3.91|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 91 of 91, Box L, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||51|55|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530507|NEWHM : 2016.H3.62|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Scleroderma vulgare"" and ""Bomeranzenborift?"". Number 62 of 91, Box R, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||42|52|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530508|NEWHM : 2016.H3.63|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 63 of 91, Box R, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||57|47|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530509|NEWHM : 2016.H3.64|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Boletus confluens"" and ""Gemmelpilz"". Number 64 of 91, Box R, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||31|64|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530512|NEWHM : 2016.H3.65|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaricus prunulus"" and ""Mehlfchnamm"". Number 65 of 91, Box S, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||58|74|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
