irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpePreparation|DimHeight|DimDiameter|DimLengthUnit|ParentSum|MulDescription|NumMulFiles
136623|NEWHM : HANM.4.4072|Natural Sciences|Botany|GNM: Hancock Temporary Numbers|1|fruit|baobab|Baobab.|||||||||||||1
143636|NEWHM : HANM.1640|Natural Sciences|Botany|GNM: Hancock Temporary Numbers|3|seed||Seeds.|||||||||||||1
144063|NEWHM : HANM.3567|Natural Sciences|Botany|GNM: Hancock Temporary Numbers||seed||Seeds.|||||||||||||1
144065|NEWHM : HANM.3569|Natural Sciences|Botany|GNM: Hancock Temporary Numbers||seed, leaves||Leaves and seeds.|||||||||||||1
144066|NEWHM : HANM.3570|Natural Sciences|Botany|GNM: Hancock Temporary Numbers||seed, leaves||Seeds and leaves.|||||||||||||1
144074|NEWHM : HANM.3578|Natural Sciences|Botany|GNM: Hancock Temporary Numbers||seed||Seeds of bark.|||||||||||||1
144075|NEWHM : HANM.3579|Natural Sciences|Botany|GNM: Hancock Temporary Numbers||seed||Empty boxes and seeds.|||||||||||||1
144076|NEWHM : HANM.3580|Natural Sciences|Botany|GNM: Hancock Temporary Numbers||fruit, seed||Misc. fruits and seeds.|||||||||||||1
144085|NEWHM : HANM.3589|Natural Sciences|Botany|GNM: Hancock Temporary Numbers||seed, fruit||Misc. fruit and seeds.|||||||||||||1
