irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeStatus|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|ColCollectionName|ConConsObjectDescription|MulDescription|NumMulFiles
200240|NEWHM : 05493|Natural Sciences|Invertebrate Zoology|Molluscs||3|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Tyne and Wear (NE England), Gosforth Park Lake|||||||Additional British Collection|||1
200241|NEWHM : 05494|Natural Sciences|Invertebrate Zoology|Molluscs||9|mollusc|||||Mollusca & & & : : : : Mollusca||05/04/1926|UK, England, Co. Durham, Sedgefield|||||||Additional British Collection|||1
200242|NEWHM : 05495|Natural Sciences|Invertebrate Zoology|Molluscs||17|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Tyne and Wear (NE England), Gosforth Park Lake|||||||Additional British Collection|||1
200243|NEWHM : 05496|Natural Sciences|Invertebrate Zoology|Molluscs||9|mollusc|||||Mollusca & & & : : : : Mollusca||17/04/1926|UK, England, Leicestershire, Great Glen, Canal|||||||Additional British Collection|||1
200244|NEWHM : 05497|Natural Sciences|Invertebrate Zoology|Molluscs||11|mollusc|||||Mollusca & & & : : : : Mollusca||01/08/1924|UK, England, Leicestershire, Aylestone, Canal|||||||Additional British Collection|||1
200245|NEWHM : 05498|Natural Sciences|Invertebrate Zoology|Molluscs||8|mollusc|||||Mollusca & & & : : : : Mollusca||06/08/1924|UK, England, Leicestershire, Aylestone, Canal|||||||Additional British Collection|||1
200246|NEWHM : 05499|Natural Sciences|Invertebrate Zoology|Molluscs||3|mollusc|||||Mollusca & & & : : : : Mollusca||17/04/1926|UK, England, Leicestershire, Great Glen, Canal|||||||Additional British Collection|||1
200247|NEWHM : 05500|Natural Sciences|Invertebrate Zoology|Molluscs||3|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Tyne and Wear (NE England), Gosforth Park Lake|||||||Additional British Collection|||1
200248|NEWHM : 05501|Natural Sciences|Invertebrate Zoology|Molluscs||9|mollusc|||||Mollusca & & & : : : : Mollusca||01/08/1924|UK, England, Leicestershire, Aylestone, Canal|||||||Additional British Collection|||1
200249|NEWHM : 05502|Natural Sciences|Invertebrate Zoology|Molluscs||20|mollusc|||||Mollusca & & & : : : : Mollusca||17/04/1926|UK, England, Leicestershire, Wistow (lake)|||||||Additional British Collection|||1
200250|NEWHM : 05503|Natural Sciences|Invertebrate Zoology|Molluscs||21|mollusc|||||Mollusca & & & : : : : Mollusca||17/04/1926|UK, England, Leicestershire, Great Glen, Canal|||||||Additional British Collection|||1
200251|NEWHM : 05504|Natural Sciences|Invertebrate Zoology|Molluscs|||mollusc|||||Mollusca & & & : : : : Mollusca||01/08/1924|UK, England, Leicestershire, Aylestone, Canal|||||||Additional British Collection|||1
200252|NEWHM : 05505|Natural Sciences|Invertebrate Zoology|Molluscs||5|mollusc|||||Mollusca & & & : : : : Mollusca||17/04/1926|UK, England, Leicestershire, Great Glen, Canal|||||||Additional British Collection|||1
200253|NEWHM : 05506|Natural Sciences|Invertebrate Zoology|Molluscs||8|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Tyne and Wear (NE England), Gosforth Park Lake|||||||Additional British Collection|||1
200254|NEWHM : 05507|Natural Sciences|Invertebrate Zoology|Molluscs||1|mollusc|||||Mollusca & & & : : : : Mollusca||17/04/1926|UK, England, Leicestershire, Great Glen, Canal|||||||Additional British Collection|||1
200255|NEWHM : 05508|Natural Sciences|Invertebrate Zoology|Molluscs||22|mollusc|||||Mollusca & & & : : : : Mollusca||17/04/1926|UK, England, Leicestershire, Great Glen, Canal|||||||Additional British Collection|||1
200256|NEWHM : 05509|Natural Sciences|Invertebrate Zoology|Molluscs||2|mollusc|||||Mollusca & & & : : : : Mollusca||05/04/1926|UK, England, Co. Durham, Sedgefield|||||||Additional British Collection|||1
203847|NEWHM : 2009.H1533|Natural Sciences|Invertebrate Zoology|Molluscs||1|mollusc spirit specimen|bivalve|||Razor Shell Clam|Veneroida : : Veneroida : Bivalvia : Mollusca|||||||||||||1
