irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoAge|GeoZone|GeoRock|ComName_tab|SciName|IdeDateIdentified|ColSum|ColCollectionDates|LocalSum|LocalPrecise|DimHeight|DimLength|DimWidth|DimDepth|DimDiameter|InsType|MulDescription|NumMulFiles
139389|NEWHM : HANM.5.2952|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|3|fossil bivalve||Unidentified specimen.|||||||||||||||||||1
139390|NEWHM : HANM.5.2953|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|13|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
139391|NEWHM : HANM.5.2954|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
139393|NEWHM : HANM.5.2956|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|6|unidentified specimen ||Unidentified specimen.|||||||||||||||||||1
139394|NEWHM : HANM.5.2957|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
139395|NEWHM : HANM.5.2958|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|11|fossil bivalve||Unidentified specimen.|||||||||||||||||||1
139396|NEWHM : HANM.5.2959|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|5|fossil bivalve||Unidentified specimen.|||||||||||||||||||1
139397|NEWHM : HANM.5.2960|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|17|fossil brachiopod||Unidentified specimen.|||||||||||||||||||1
139430|NEWHM : HANM.5.2993|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|6|unidentified specimen ||Unidentified specimen.|||||||||||||||||||1
139431|NEWHM : HANM.5.2994|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|18|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
139432|NEWHM : HANM.5.2995|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|2|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
139433|NEWHM : HANM.5.2996|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers||coal measures ? (? - quantity unknown)||Coal measures ?.|||||||||||||||||||1
139434|NEWHM : HANM.5.2997|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers||coal measures ? (? - quantity unknown)||Coal measures ?.|||||||||||||||||||1
139435|NEWHM : HANM.5.2998|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers||coal measures (? - quantity unknown)||Coal measures.|||||||||||||||||||1
139436|NEWHM : HANM.5.2999|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers||coal measures (? - quantity unknown)||Coal measures.|||||||||||||||||||1
139437|NEWHM : HANM.5.3000|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|3|fossil||Coal measures ?.|||||||||||||||||||1
