irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoAge|GeoZone|GeoRock|ComName_tab|SciName|IdeDateIdentified|ColSum|ColCollectionDates|LocalSum|LocalPrecise|DimHeight|DimLength|DimWidth|DimDepth|DimDiameter|InsType|MulDescription|NumMulFiles
81926|NEWHM : G15.65|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Fragment of ornamented dermal bone.||Carboniferous (Late) & Westphalian B||Coal Measures Group & Low Main Seam|, Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Incertae Sedis |Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Incertae Sedis & Loxommatoidea & Loxommatidae : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81927|NEWHM : G15.66|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Small fragment of ornamented dermal bone.||Carboniferous (Late)||Coal Measures Group & Low Main Seam|, Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Incertae Sedis |Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Incertae Sedis & Loxommatoidea & Loxommatidae : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81928|NEWHM : G15.67|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Fragment of ornamented dermal bone.||Carboniferous (Late)||Coal Measures Group & Low Main Seam (?)|Keraterpeton reticulatum, Animalia & Chordata & Vertebrata & Amphibia|Animalia & Chordata & Vertebrata & Amphibia : : : Amphibia : Chordata||Atthey, Thomas (?)||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81929|NEWHM : G15.68|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Fragment of ornamented dermal bone.||Carboniferous (Late) & Westphalian B||Coal Measures Group & Low Main Seam|megalocephalus & pachycephalus (barkas), Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Incertae Sedis |Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Incertae Sedis & Loxommatoidea & Loxommatidae : : : :||Atthey, Thomas||UK, England, Tyne and Wear, Newcastle upon Tyne|Kenton Colliery||||||||1
81931|NEWHM : G15.70|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Impression of the palate (incomplete in mid-region). This specimen together with NEWHM G015.69 and NEWHM G015.91 form the constituent parts of a single skull described by Watson, D.M.S. (1929) as the Holotype of Baphetes kirkbyi, sp.nov. (see Boyd and Turner, 1980)||Carboniferous (Late) & Westphalian B||Coal Measures Group & Earl David's Parrot Coal|baphetes & kirkbyi (watson), Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Incertae Sedis |Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Incertae Sedis & Loxommatoidea & Loxommatidae : : : :||Kirkby, J. W.||UK, Scotland, Fife (Scotland)|Pirnie Colliery||||||||3
81933|NEWHM : G15.72|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Lectoptye skull table.||Carboniferous (Late)|Similis-Pulchra Zone (base of)|Coal Measures Formation (Middle) & Low Main Seam|pteroplax & cornutus (hancock and atthey 1868), Animalia & Chordata & Vertebrata & Amphibia|Animalia & Chordata & Vertebrata & Amphibia : : : :||||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||4
81934|NEWHM : G15.73|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Vertebrae and ribs.||Carboniferous||Coal Measures Group & Low Main Seam|pteroplax & sp. (?), Animalia & Chordata & Vertebrata & Amphibia|Animalia & Chordata & Vertebrata & Amphibia : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||3
81935|NEWHM : G15.74|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Limb bones and scutes.||Carboniferous||Coal Measures Group & Low Main Seam|Keraterpeton reticulatum, Animalia & Chordata & Vertebrata & Amphibia|Animalia & Chordata & Vertebrata & Amphibia : : : Amphibia : Chordata||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81936|NEWHM : G15.75|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Scutes.||Carboniferous||Coal Measures Group & Low Main Seam|Keraterpeton reticulatum, Animalia & Chordata & Vertebrata & Amphibia|Animalia & Chordata & Vertebrata & Amphibia : : : Amphibia : Chordata||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81937|NEWHM : G15.76|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Thoracic rib. possible limb bone in matrix underneath.||Carboniferous||Coal Measures Group & Low Main Seam|pteroplax & sp. (?), Animalia & Chordata & Vertebrata & Amphibia|Animalia & Chordata & Vertebrata & Amphibia : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81938|NEWHM : G15.77|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Thoracic and late presacral rib.||Carboniferous||Coal Measures Group & Low Main Seam|Keraterpeton reticulatum, Animalia & Chordata & Vertebrata & Amphibia|Animalia & Chordata & Vertebrata & Amphibia : : : Amphibia : Chordata||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81939|NEWHM : G15.78|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Thoracic rib.||Carboniferous||Coal Measures Group & Low Main Seam|pteroplax & sp. (?), Animalia & Chordata & Vertebrata & Amphibia|Animalia & Chordata & Vertebrata & Amphibia : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81940|NEWHM : G15.79|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Rib.||Carboniferous||Coal Measures Group & Low Main Seam|Keraterpeton reticulatum, Animalia & Chordata & Vertebrata & Amphibia|Animalia & Chordata & Vertebrata & Amphibia : : : Amphibia : Chordata||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81941|NEWHM : G15.80|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Rib.||Carboniferous||Coal Measures Group & Low Main Seam|Keraterpeton reticulatum, Animalia & Chordata & Vertebrata & Amphibia|Animalia & Chordata & Vertebrata & Amphibia : : : Amphibia : Chordata||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81944|NEWHM : G15.83|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Isolated palatine bearing a tusk pair (1 tusk sectioned and polished).||Carboniferous & Westphalian B||Coal Measures Group & Low Main Seam (shale above)|pholiderpeton & attheyi (watson), Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria |Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria & Embolomeri & Eogyrinidae : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
